model;range;efficiency;capacity;acceleration;topspeed;fastcharge;chargespeed
Mercedes EQE 350;535;168;90.0;6.0 sec;160;680;56
Mercedes EQS 350;545;166;90.6;6.6 sec;210;690;56
Mercedes EQS 450+;640;168;107.8;6.2 sec;210;840;56
Mercedes EQS 580 4MATIC;610;177;107.8;4.3 sec;210;800;53
Mercedes EQS AMG 53 4MATIC+;565;191;107.8;3.4 sec;250;740;49
Mercedes EQV 250 Extra-Long;215;279;60.0;12.0 sec;160;200;34
Mercedes EQV 250 Long;215;279;60.0;12.0 sec;160;200;34
Mercedes EQV 300 Extra-Long;320;281;90.0;12.1 sec;160;320;33
Mercedes EQV 300 Long;320;281;90.0;12.1 sec;160;320;33
Mini Cooper SE ;185;156;28.9;7.3 sec;150;260;60
Nissan Ariya 63kWh;335;188;63.0;7.5 sec;160;450;33
Nissan Ariya 87kWh;445;196;87.0;7.6 sec;160;530;96
Nissan Ariya e-4ORCE 87kWh;420;207;87.0;5.7 sec;200;500;90
Nissan Ariya e-4ORCE 87kWh Performance;385;226;87.0;5.1 sec;200;460;83
Nissan Leaf ;225;164;37.0;7.9 sec;144;230;19
Nissan Leaf e+;325;172;56.0;7.3 sec;157;390;33
Opel Combo-e Life 50 kWh;200;225;45.0;11.7 sec;135;320;28
Opel Combo-e Life XL 50 kWh;195;231;45.0;11.7 sec;135;310;27
Opel Corsa-e ;285;158;45.0;8.1 sec;150;460;40
Opel Mokka-e ;255;176;45.0;9.2 sec;150;410;36
Opel Zafira-e Life L 50 kWh;175;257;45.0;12.1 sec;130;280;24
Opel Zafira-e Life L 75 kWh;250;260;65.0;13.3 sec;130;290;24
Opel Zafira-e Life M 50 kWh;180;250;45.0;12.1 sec;130;290;25
Opel Zafira-e Life M 75 kWh;250;260;65.0;13.3 sec;130;290;24
Opel Zafira-e Life S 50 kWh;180;250;45.0;12.1 sec;130;290;25
Peugeot e-2008 SUV ;255;176;45.0;8.5 sec;150;410;36
Peugeot e-208 ;285;158;45.0;8.1 sec;150;460;40
Peugeot e-Rifter Long 50 kWh;195;231;45.0;11.7 sec;135;310;27
Peugeot e-Rifter Standard 50 kWh;200;225;45.0;11.7 sec;135;320;28
Peugeot e-Traveller Compact 50 kWh;180;250;45.0;12.1 sec;130;290;25
Peugeot e-Traveller Long 50 kWh;175;257;45.0;13.1 sec;130;280;24
Peugeot e-Traveller Long 75 kWh;260;262;68.0;14.3 sec;130;280;24
