model;range;efficiency;capacity;acceleration;topspeed;fastcharge;Charge Speed
MG ZS EV Standard Range;260 km;185 Wh/km;48.0;8.6 sec;175 km/h;260 km/h;30 km/h
Mazda MX-30 ;170 km;176 Wh/km;30.0;9.7 sec;140 km/h;180 km/h;32 km/h
Mercedes EQA 250;355 km;187 Wh/km;66.5;8.9 sec;160 km/h;510 km/h;50 km/h
Mercedes EQA 300 4MATIC;350 km;190 Wh/km;66.5;7.7 sec;160 km/h;500 km/h;49 km/h
Mercedes EQA 350 4MATIC;350 km;190 Wh/km;66.5;6.0 sec;160 km/h;500 km/h;49 km/h
Mercedes EQB 300 4MATIC;335 km;199 Wh/km;66.5;8.0 sec;160 km/h;400 km/h;47 km/h
Mercedes EQB 350 4MATIC;335 km;199 Wh/km;66.5;6.2 sec;160 km/h;400 km/h;47 km/h
Mercedes EQC 400 4MATIC;370 km;216 Wh/km;80.0;5.1 sec;180 km/h;440 km/h;43 km/h
Mercedes EQE 350;535 km;168 Wh/km;90.0;6.0 sec;160 km/h;680 km/h;56 km/h
Mercedes EQS 350;545 km;166 Wh/km;90.6;6.6 sec;210 km/h;690 km/h;56 km/h
Mercedes EQS 450+;640 km;168 Wh/km;107.8;6.2 sec;210 km/h;840 km/h;56 km/h
Mercedes EQS 580 4MATIC;610 km;177 Wh/km;107.8;4.3 sec;210 km/h;800 km/h;53 km/h
Mercedes EQS AMG 53 4MATIC+;565 km;191 Wh/km;107.8;3.4 sec;250 km/h;740 km/h;49 km/h
Mercedes EQV 250 Extra-Long;215 km;279 Wh/km;60.0;12.0 sec;160 km/h;200 km/h;34 km/h
Mercedes EQV 250 Long;215 km;279 Wh/km;60.0;12.0 sec;160 km/h;200 km/h;34 km/h
Mercedes EQV 300 Extra-Long;320 km;281 Wh/km;90.0;12.1 sec;160 km/h;320 km/h;33 km/h
Mercedes EQV 300 Long;320 km;281 Wh/km;90.0;12.1 sec;160 km/h;320 km/h;33 km/h
Mini Cooper SE ;185 km;156 Wh/km;28.9;7.3 sec;150 km/h;260 km/h;60 km/h
Nissan Ariya 63kWh;335 km;188 Wh/km;63.0;7.5 sec;160 km/h;450 km/h;33 km/h
Nissan Ariya 87kWh;445 km;196 Wh/km;87.0;7.6 sec;160 km/h;530 km/h;96 km/h
Nissan Ariya e-4ORCE 87kWh;420 km;207 Wh/km;87.0;5.7 sec;200 km/h;500 km/h;90 km/h
Nissan Ariya e-4ORCE 87kWh Performance;385 km;226 Wh/km;87.0;5.1 sec;200 km/h;460 km/h;83 km/h
Nissan Leaf ;225 km;164 Wh/km;37.0;7.9 sec;144 km/h;230 km/h;19 km/h
Nissan Leaf e+;325 km;172 Wh/km;56.0;7.3 sec;157 km/h;390 km/h;33 km/h
Opel Combo-e Life 50 kWh;200 km;225 Wh/km;45.0;11.7 sec;135 km/h;320 km/h;28 km/h
Opel Combo-e Life XL 50 kWh;195 km;231 Wh/km;45.0;11.7 sec;135 km/h;310 km/h;27 km/h
Opel Corsa-e ;285 km;158 Wh/km;45.0;8.1 sec;150 km/h;460 km/h;40 km/h
Opel Mokka-e ;255 km;176 Wh/km;45.0;9.2 sec;150 km/h;410 km/h;36 km/h
Opel Zafira-e Life L 50 kWh;175 km;257 Wh/km;45.0;12.1 sec;130 km/h;280 km/h;24 km/h
Opel Zafira-e Life L 75 kWh;250 km;260 Wh/km;65.0;13.3 sec;130 km/h;290 km/h;24 km/h
Opel Zafira-e Life M 50 kWh;180 km;250 Wh/km;45.0;12.1 sec;130 km/h;290 km/h;25 km/h
Opel Zafira-e Life M 75 kWh;250 km;260 Wh/km;65.0;13.3 sec;130 km/h;290 km/h;24 km/h
Opel Zafira-e Life S 50 kWh;180 km;250 Wh/km;45.0;12.1 sec;130 km/h;290 km/h;25 km/h
Peugeot e-2008 SUV ;255 km;176 Wh/km;45.0;8.5 sec;150 km/h;410 km/h;36 km/h
Peugeot e-208 ;285 km;158 Wh/km;45.0;8.1 sec;150 km/h;460 km/h;40 km/h
Peugeot e-Rifter Long 50 kWh;195 km;231 Wh/km;45.0;11.7 sec;135 km/h;310 km/h;27 km/h
Peugeot e-Rifter Standard 50 kWh;200 km;225 Wh/km;45.0;11.7 sec;135 km/h;320 km/h;28 km/h
Peugeot e-Traveller Compact 50 kWh;180 km;250 Wh/km;45.0;12.1 sec;130 km/h;290 km/h;25 km/h
Peugeot e-Traveller Long 50 kWh;175 km;257 Wh/km;45.0;13.1 sec;130 km/h;280 km/h;24 km/h
Peugeot e-Traveller Long 75 kWh;260 km;262 Wh/km;68.0;14.3 sec;130 km/h;280 km/h;24 km/h
Peugeot e-Traveller Standard 50 kWh;180 km;250 Wh/km;45.0;13.1 sec;130 km/h;290 km/h;25 km/h
Peugeot e-Traveller Standard 75 kWh;265 km;257 Wh/km;68.0;14.3 sec;130 km/h;290 km/h;25 km/h
Polestar 2 Long Range Dual Motor;395 km;190 Wh/km;75.0;4.7 sec;205 km/h;510 km/h;49 km/h
Polestar 2 Long Range Single Motor;425 km;176 Wh/km;75.0;7.4 sec;160 km/h;550 km/h;53 km/h
Polestar 2 Standard Range Single Motor;350 km;174 Wh/km;61.0;7.4 sec;160 km/h;430 km/h;54 km/h
Porsche Taycan ;395 km;180 Wh/km;71.0;5.4 sec;230 km/h;790 km/h;52 km/h
Porsche Taycan 4 Cross Turismo;405 km;207 Wh/km;83.7;5.1 sec;220 km/h;890 km/h;45 km/h
Porsche Taycan 4S;375 km;189 Wh/km;71.0;4.0 sec;250 km/h;750 km/h;49 km/h
Porsche Taycan 4S Cross Turismo;405 km;207 Wh/km;83.7;4.1 sec;240 km/h;890 km/h;45 km/h
Porsche Taycan 4S Plus;435 km;192 Wh/km;83.7;4.0 sec;250 km/h;960 km/h;49 km/h
Porsche Taycan GTS;460 km;182 Wh/km;83.7;3.7 sec;250 km/h;1010 km/h;51 km/h
Porsche Taycan GTS Sport Turismo;435 km;192 Wh/km;83.7;3.7 sec;250 km/h;960 km/h;49 km/h
Porsche Taycan Plus;460 km;182 Wh/km;83.7;5.4 sec;230 km/h;1010 km/h;51 km/h
Porsche Taycan Turbo;400 km;209 Wh/km;83.7;3.2 sec;260 km/h;880 km/h;45 km/h
Porsche Taycan Turbo Cross Turismo;385 km;217 Wh/km;83.7;3.3 sec;250 km/h;850 km/h;43 km/h
Porsche Taycan Turbo S;390 km;215 Wh/km;83.7;2.8 sec;260 km/h;860 km/h;44 km/h
Porsche Taycan Turbo S Cross Turismo;380 km;220 Wh/km;83.7;2.9 sec;250 km/h;840 km/h;42 km/h
Renault Kangoo Maxi ZE 33;160 km;194 Wh/km;31.0;22.4 sec;130 km/h;-;32 km/h
Renault Megane E-Tech EV40 130hp;245 km;163 Wh/km;40.0;10.0 sec;160 km/h;350 km/h;39 km/h
Renault Megane E-Tech EV60 130hp;365 km;164 Wh/km;60.0;10.0 sec;160 km/h;520 km/h;38 km/h
Renault Megane E-Tech EV60 220hp;360 km;167 Wh/km;60.0;7.4 sec;160 km/h;520 km/h;38 km/h
Renault Twingo Electric;130 km;164 Wh/km;21.3;12.6 sec;135 km/h;-;110 km/h
Renault Zoe ZE40 R110;255 km;161 Wh/km;41.0;11.4 sec;135 km/h;230 km/h;110 km/h
Renault Zoe ZE50 R110;315 km;165 Wh/km;52.0;11.4 sec;135 km/h;230 km/h;110 km/h
Renault Zoe ZE50 R135;310 km;168 Wh/km;52.0;9.5 sec;140 km/h;230 km/h;110 km/h
SEAT Mii Electric ;205 km;158 Wh/km;32.3;12.3 sec;130 km/h;170 km/h;39 km/h
Seres 3 ;270 km;193 Wh/km;52.0;8.9 sec;155 km/h;390 km/h;29 km/h
Skoda Enyaq iV 50;295 km;176 Wh/km;52.0;11.3 sec;160 km/h;240 km/h;35 km/h
Skoda Enyaq iV 60;330 km;176 Wh/km;58.0;8.7 sec;160 km/h;460 km/h;53 km/h
Skoda Enyaq iV 80;420 km;183 Wh/km;77.0;8.6 sec;160 km/h;530 km/h;51 km/h
Skoda Enyaq iV 80x;400 km;193 Wh/km;77.0;6.9 sec;160 km/h;500 km/h;49 km/h
Skoda Enyaq iV RS;395 km;195 Wh/km;77.0;6.2 sec;180 km/h;500 km/h;48 km/h
Smart EQ forfour ;95 km;176 Wh/km;16.7;12.7 sec;130 km/h;-;22 km/h
Smart EQ fortwo cabrio;95 km;176 Wh/km;16.7;11.9 sec;130 km/h;-;22 km/h
Smart EQ fortwo coupe;100 km;167 Wh/km;16.7;11.6 sec;130 km/h;-;23 km/h
Sono Sion ;260 km;181 Wh/km;47.0;9.0 sec;140 km/h;310 km/h;52 km/h
SsangYong Korando e-Motion;290 km;193 Wh/km;56.0;8.5 sec;156 km/h;290 km/h;29 km/h
Subaru Solterra AWD;375 km;190 Wh/km;71.4;7.7 sec;160 km/h;490 km/h;29 km/h
Tesla Model 3 ;380 km;150 Wh/km;57.0;6.1 sec;225 km/h;630 km/h;62 km/h
Tesla Model 3 Long Range Dual Motor;455 km;154 Wh/km;70.0;4.4 sec;233 km/h;650 km/h;60 km/h
Tesla Model 3 Long Range Dual Motor;485 km;155 Wh/km;75.0;4.4 sec;233 km/h;670 km/h;60 km/h
Tesla Model 3 Performance;470 km;162 Wh/km;76.0;3.3 sec;261 km/h;790 km/h;58 km/h
Tesla Model S Long Range;585 km;162 Wh/km;95.0;3.2 sec;250 km/h;810 km/h;86 km/h
Tesla Model S Plaid;560 km;170 Wh/km;95.0;2.1 sec;322 km/h;780 km/h;83 km/h
Tesla Model X Long Range;490 km;194 Wh/km;95.0;3.9 sec;250 km/h;680 km/h;72 km/h
Tesla Model X Plaid;465 km;204 Wh/km;95.0;2.6 sec;262 km/h;650 km/h;69 km/h
Tesla Model Y Long Range Dual Motor;410 km;171 Wh/km;70.0;5.0 sec;217 km/h;590 km/h;55 km/h
Tesla Model Y Performance;425 km;179 Wh/km;76.0;3.7 sec;241 km/h;710 km/h;52 km/h
Toyota PROACE Verso L 50 kWh;175 km;257 Wh/km;45.0;12.1 sec;130 km/h;280 km/h;24 km/h
Toyota PROACE Verso L 75 kWh;250 km;260 Wh/km;65.0;13.1 sec;130 km/h;290 km/h;24 km/h
Toyota PROACE Verso M 50 kWh;180 km;250 Wh/km;45.0;12.1 sec;130 km/h;290 km/h;25 km/h
Toyota PROACE Verso M 75 kWh;250 km;260 Wh/km;65.0;13.1 sec;130 km/h;290 km/h;24 km/h
Toyota bZ4X AWD;375 km;190 Wh/km;71.4;7.7 sec;160 km/h;490 km/h;29 km/h
Toyota bZ4X FWD;380 km;188 Wh/km;71.4;8.4 sec;160 km/h;490 km/h;30 km/h
Volkswagen ID.3 Pro;350 km;166 Wh/km;58.0;9.6 sec;160 km/h;490 km/h;56 km/h
Volkswagen ID.3 Pro Performance;350 km;166 Wh/km;58.0;7.3 sec;160 km/h;490 km/h;56 km/h
Volkswagen ID.3 Pro S - 4 Seats;450 km;171 Wh/km;77.0;7.9 sec;160 km/h;570 km/h;55 km/h
Volkswagen ID.3 Pro S - 5 Seats;450 km;171 Wh/km;77.0;7.9 sec;160 km/h;570 km/h;55 km/h
Volkswagen ID.3 Pure Performance;275 km;164 Wh/km;45.0;8.9 sec;160 km/h;410 km/h;38 km/h
Volkswagen ID.4 GTX;400 km;193 Wh/km;77.0;6.2 sec;180 km/h;500 km/h;49 km/h
Volkswagen ID.4 Pro Performance;410 km;188 Wh/km;77.0;8.5 sec;160 km/h;520 km/h;50 km/h
Volkswagen ID.4 Pure;285 km;182 Wh/km;52.0;10.9 sec;160 km/h;360 km/h;34 km/h
Volkswagen ID.4 Pure Performance;285 km;182 Wh/km;52.0;9.0 sec;160 km/h;360 km/h;34 km/h
Volkswagen ID.5 GTX;410 km;188 Wh/km;77.0;6.3 sec;180 km/h;550 km/h;50 km/h
Volkswagen ID.5 Pro;430 km;179 Wh/km;77.0;10.4 sec;160 km/h;540 km/h;52 km/h
Volkswagen ID.5 Pro Performance;430 km;179 Wh/km;77.0;8.4 sec;160 km/h;540 km/h;52 km/h
Volkswagen e-Up! ;205 km;158 Wh/km;32.3;11.9 sec;130 km/h;170 km/h;39 km/h
Volvo C40 Recharge;340 km;221 Wh/km;75.0;4.7 sec;180 km/h;440 km/h;42 km/h
Volvo XC40 Recharge Pure Electric;315 km;213 Wh/km;67.0;7.4 sec;160 km/h;400 km/h;44 km/h
Volvo XC40 Recharge Twin Pure Electric;340 km;221 Wh/km;75.0;4.9 sec;180 km/h;440 km/h;42 km/h
